,CWW15,y,x,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,6,8.77,39.53,0.428571428571,0.52380952381,0.142857142857,0.904761904762,0.0,0.857142857143,0.595238095238,0.5,0.452380952381,0.119047619048,0.47619047619,0.214285714286,0.404761904762,0.595238095238,0.52380952381,0.0952380952381,0.309523809524,0.0238095238095,0.380952380952,0.738095238095,0.285714285714,0.928571428571,0.0714285714286,0.357142857143,0.238095238095,0.714285714286,0.166666666667,0.190476190476,0.785714285714,0.309523809524,0.666666666667,0.809523809524,0.642857142857,0.952380952381,0.97619047619,0.761904761905,0.52380952381,0.833333333333,0.261904761905,0.047619047619,0.690476190476,0.880952380952
1,6,8.82,39.48,0.452380952381,0.738095238095,0.333333333333,0.880952380952,0.0,0.761904761905,0.833333333333,0.285714285714,0.428571428571,0.190476190476,0.261904761905,0.380952380952,0.571428571429,0.380952380952,0.666666666667,0.0952380952381,0.52380952381,0.0238095238095,0.333333333333,0.619047619048,0.47619047619,0.928571428571,0.0714285714286,0.238095238095,0.119047619048,0.690476190476,0.142857142857,0.166666666667,0.809523809524,0.309523809524,0.642857142857,0.785714285714,0.595238095238,0.952380952381,0.97619047619,0.714285714286,0.5,0.857142857143,0.214285714286,0.047619047619,0.547619047619,0.904761904762
2,6,8.82,39.53,0.357142857143,0.595238095238,0.214285714286,0.904761904762,0.0,0.785714285714,0.738095238095,0.571428571429,0.285714285714,0.119047619048,0.380952380952,0.166666666667,0.690476190476,0.47619047619,0.547619047619,0.142857142857,0.5,0.0714285714286,0.428571428571,0.714285714286,0.404761904762,0.928571428571,0.0238095238095,0.238095238095,0.190476190476,0.666666666667,0.0952380952381,0.261904761905,0.833333333333,0.309523809524,0.52380952381,0.809523809524,0.595238095238,0.952380952381,0.97619047619,0.738095238095,0.452380952381,0.857142857143,0.333333333333,0.047619047619,0.642857142857,0.880952380952
3,6,8.82,39.58,0.380952380952,0.452380952381,0.190476190476,0.904761904762,0.0,0.761904761905,0.714285714286,0.619047619048,0.285714285714,0.119047619048,0.285714285714,0.166666666667,0.690476190476,0.47619047619,0.547619047619,0.142857142857,0.52380952381,0.047619047619,0.428571428571,0.738095238095,0.404761904762,0.952380952381,0.0714285714286,0.190476190476,0.238095238095,0.619047619048,0.0952380952381,0.357142857143,0.833333333333,0.333333333333,0.571428571429,0.809523809524,0.666666666667,0.928571428571,0.97619047619,0.761904761905,0.5,0.857142857143,0.261904761905,0.0238095238095,0.595238095238,0.880952380952
4,6,8.82,39.62,0.380952380952,0.285714285714,0.238095238095,0.904761904762,0.0,0.738095238095,0.761904761905,0.595238095238,0.380952380952,0.0714285714286,0.261904761905,0.214285714286,0.619047619048,0.5,0.52380952381,0.142857142857,0.47619047619,0.119047619048,0.357142857143,0.785714285714,0.452380952381,0.97619047619,0.047619047619,0.166666666667,0.190476190476,0.690476190476,0.0952380952381,0.428571428571,0.833333333333,0.309523809524,0.642857142857,0.809523809524,0.571428571429,0.928571428571,0.952380952381,0.714285714286,0.642857142857,0.857142857143,0.333333333333,0.0238095238095,0.547619047619,0.880952380952
5,6,8.82,39.67,0.357142857143,0.166666666667,0.142857142857,0.928571428571,0.0,0.857142857143,0.761904761905,0.452380952381,0.357142857143,0.047619047619,0.119047619048,0.309523809524,0.714285714286,0.214285714286,0.47619047619,0.47619047619,0.547619047619,0.0714285714286,0.309523809524,0.785714285714,0.47619047619,0.97619047619,0.0952380952381,0.285714285714,0.238095238095,0.619047619048,0.166666666667,0.428571428571,0.809523809524,0.404761904762,0.666666666667,0.714285714286,0.571428571429,0.904761904762,0.952380952381,0.690476190476,0.642857142857,0.833333333333,0.261904761905,0.0238095238095,0.595238095238,0.880952380952
6,6,8.87,39.43,0.452380952381,0.809523809524,0.285714285714,0.904761904762,0.0,0.761904761905,0.785714285714,0.333333333333,0.404761904762,0.214285714286,0.404761904762,0.690476190476,0.357142857143,0.642857142857,0.666666666667,0.0952380952381,0.595238095238,0.0238095238095,0.619047619048,0.714285714286,0.5,0.928571428571,0.047619047619,0.261904761905,0.119047619048,0.571428571429,0.166666666667,0.142857142857,0.833333333333,0.190476190476,0.47619047619,0.738095238095,0.5,0.952380952381,0.97619047619,0.547619047619,0.309523809524,0.857142857143,0.214285714286,0.0714285714286,0.357142857143,0.880952380952
7,6,8.87,39.48,0.428571428571,0.761904761905,0.238095238095,0.880952380952,0.0,0.666666666667,0.857142857143,0.309523809524,0.380952380952,0.166666666667,0.261904761905,0.5,0.571428571429,0.285714285714,0.595238095238,0.0952380952381,0.547619047619,0.0238095238095,0.404761904762,0.690476190476,0.52380952381,0.928571428571,0.0714285714286,0.190476190476,0.119047619048,0.738095238095,0.142857142857,0.214285714286,0.809523809524,0.333333333333,0.619047619048,0.785714285714,0.619047619048,0.952380952381,0.97619047619,0.714285714286,0.452380952381,0.833333333333,0.357142857143,0.047619047619,0.47619047619,0.904761904762
8,6,8.87,39.53,0.333333333333,0.642857142857,0.142857142857,0.904761904762,0.0,0.690476190476,0.785714285714,0.666666666667,0.238095238095,0.214285714286,0.285714285714,0.309523809524,0.714285714286,0.452380952381,0.547619047619,0.119047619048,0.52380952381,0.047619047619,0.404761904762,0.714285714286,0.595238095238,0.928571428571,0.0238095238095,0.190476190476,0.166666666667,0.619047619048,0.0952380952381,0.357142857143,0.833333333333,0.380952380952,0.452380952381,0.809523809524,0.547619047619,0.952380952381,0.97619047619,0.761904761905,0.428571428571,0.857142857143,0.261904761905,0.047619047619,0.5,0.880952380952
9,6,8.87,39.58,0.333333333333,0.404761904762,0.142857142857,0.880952380952,0.0,0.666666666667,0.785714285714,0.690476190476,0.261904761905,0.119047619048,0.238095238095,0.285714285714,0.761904761905,0.47619047619,0.52380952381,0.166666666667,0.571428571429,0.0714285714286,0.404761904762,0.714285714286,0.452380952381,0.952380952381,0.047619047619,0.214285714286,0.190476190476,0.595238095238,0.0952380952381,0.309523809524,0.833333333333,0.380952380952,0.52380952381,0.809523809524,0.619047619048,0.928571428571,0.97619047619,0.738095238095,0.5,0.857142857143,0.357142857143,0.0238095238095,0.642857142857,0.904761904762
